name,price,specification,description
Multicolour Striped Embroidered Silk Panjabi Pajama Set,"As low asTk 6,902.33","['Brown', 'Silk', 'Cotton', 'Hand Embroidery', 'Chino Pants', 'Long', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Elastic Waist', 'Dry Clean']","Purple, blue and black striped silk panjabi with brown and black embroidery. Comes with brown twill cotton pajama. Features elastic waist, drawstring and in-seam side pockets."
Black Genuine Leather Nagras,"As low asTk 2,452.38","['Black', 'Cut Work', 'Nagra Sandal (Closed)', 'Genuine Leather Lining', 'Genuine Leather Sole', 'Close Toed', 'Without Back Strap', '1 Inch', 'Clean With Soft Dry Brush And Keep It Dry Place']",Black genuine leather nagras with punch hole hood and comfortable footbed.
Plum Embroidered Endi Silk Panjabi Pajama Set,"As low asTk 5,125.58","['Teal', 'Endi Silk', 'Cotton', 'Exclusive Hand Embroidery', 'Chino Pants', 'Long', 'High Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Elastic Waist', 'Dry Clean']",Plum endi silk panjabi with blue embroidery. Comes with teal-blue cotton pajama.
Ecru Embroidered Endi Silk Panjabi,"As low asTk 10,423.26","['Endi Silk', 'Exclusive Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']","Ecru endi silk panjabi with all over exclusive grey, pastel yellow and beige embroidery. Front mid section in silk."
Coffee Erri Embroidered Slim Fit Viscose-Cotton Panjabi Pajama Set,"As low asTk 2,748.84","['Viscott (Viscose & Cotton)', 'Erri Embroidery', 'Pant One Cut', 'Long', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Elastic Waist', 'Hand Wash With Mild Detergent In Cold Water']",Coffee slim fit jacquard textured viscose-cotton panjabi with erri embroidery and sequin detail. Comes with black-brown cotton pajama.
Dark Coffee Embroidered Endi Silk Panjabi,"As low asTk 8,460.47","['Endi Silk', 'Hand Embroidery', 'High Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Dark coffee endi silk panjabi with coffee embroidery. Features in-seam side pockets.
Ecru Embroidered Endi Silk Panjabi,"As low asTk 3,967.44","['Endi Silk', 'Machine Embroidery', 'High Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']","Ecru endi silk panjabi with white, khaki and golden embroidery."
Ecru Printed and Embroidered Endi Cotton Panjabi,"As low asTk 8,855.81","['Endi Cotton', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Ecru printed endi cotton panjabi with white embroidery.
Chocolate Embroidered Endi Silk Panjabi,"As low asTk 4,939.53","['Endi Silk', 'Hand Embroidery', 'High Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Chocolate endi silk panjabi with multicolour embroidery. Features dual side in-seam pockets.
Purple Embroidered Endi Silk Panjabi,"As low asTk 5,953.49","['Endi Silk', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Purple endi silk panjabi with matching embroidery. Features in-seam side pockets.
