name,price,specification,description
Aqua Glass Embroidered Viscose Panjabi,"As low asTk 2,200.00","['Viscose', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Aqua glass jacquard textured viscose panjabi with intricate white embroidery on neckline and left side. Features in-seam side pockets.
Mauve Embroidered Cotton Panjabi,"As low asTk 2,176.74","['Cotton', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']","Mauve textured cotton panjabi with pink, mint green and purple embroidery. Features in-seam side pockets."
Dark Plum Embroidered Viscose-Cotton Panjabi,"As low asTk 2,144.19","['Viscott (Viscose & Cotton)', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Dark plum textured viscose-cotton panjabi with black embroidery. Features in-seam side pockets.
Light Pink Exclusive Slim Fit Cotton Panjabi Pajama,"As low asTk 3,362.79","['Cotton', 'Exclusive Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Light pink slim fit cotton panjabi with all over beige embroidery. Features in-seam side pockets.
Dark Olive Embroidered Cotton Slim Fit Panjabi,"As low asTk 2,530.23","['Cotton', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Dark olive textured cotton slim fit panjabi with coffee embroidery. Features in-seam side pockets.
Navy Blue Embroidered Viscose-Cotton Slim Fit Panjabi,"As low asTk 3,269.77","['Viscott (Viscose & Cotton)', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Navy blue and black viscose-cotton slim fit panjabi with blue embroidery. Features in-seam side pockets.
Beige Embroidered Cotton Panjabi,"As low asTk 3,572.09","['Cotton', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Beige printed cotton panjabi with purple and peach embroidery. Features in-seam side pockets.
Dark Grey Embroidered Cotton Panjabi,"As low asTk 3,344.19","['Cotton', 'Exclusive Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Dark grey cotton panjabi with all over blue and black embroidery. Features in-seam side pockets.
Dark Grey Embroidered Cotton Slim Fit Panjabi,"As low asTk 1,865.12","['Cotton', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']","Dark grey cotton slim fit panjabi with coffee, brown and rust embroidery. Features in-seam side pockets."
Off White Textured and Embroidered Viscose Panjabi,"As low asTk 4,306.98","['Viscose', 'Exclusive Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Off white textured viscose panjabi with embroidery. Features in-seam side pockets.
White Printed Silk Panjabi,"As low asTk 4,241.86","['Silk', 'Screen Print', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']","White silk panjabi with grey, black, orange and yellow prints. Features in-seam side pockets."
Off White Embroidered Cotton Panjabi,"As low asTk 3,069.77","['Cotton', 'Exclusive Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']","Off white cotton panjabi with brown, white prints and embroidery. Features in-seam side pockets."
Olive Green Embroidered Joysree Silk Panjabi,"As low asTk 5,158.14","['Joysree Silk', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Olive green joysree silk panjabi with green and olive embroidery. Features in-seam side pockets.
White Embroidered Viscose-Cotton Slim Fit Panjabi,"As low asTk 2,841.86","['Viscose', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",White viscose-cotton slim fit panjabi with light periwinkle embroidery. Features in-seam side pockets.
Brown/Coffee Embroidered Viscose Panjabi,"As low asTk 2,674.42","['Viscose', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Brown and coffee viscose-cotton panjabi with embroidery. Features in-seam side pockets.
Off White Embroidered Viscose-Cotton Panjabi,"As low asTk 1,395.35","['Viscott (Viscose & Cotton)', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Off white viscose-cotton panjabi with shades of beige and brown embroidery. Features in-seam side pockets.
Slate Blue Green Embroidered Viscose-Cotton Panjabi,"As low asTk 2,823.26","['Viscott (Viscose & Cotton)', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Slate blue textured and striped viscose-cotton panjabi with blue embroidery. Features in-seam side pockets.
Brown Textured and Embroidered Viscose Panjabi,"As low asTk 2,186.05","['Viscose', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Brown textured viscose panjabi with copper and golden embroidery. Features in-seam side pockets.
Grey Embroidered Viscose-Cotton Panjabi,"As low asTk 3,102.33","['Viscott (Viscose & Cotton)', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Grey viscose-cotton panjabi with embroidery. Features in-seam side pockets.
Grey Printed and Erri  Embroidered Cotton Slim Fit Panjabi,"As low asTk 1,930.23","['Cotton', 'Erri Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Grey and brown printed cotton slim fit panjabi with brown erri embroidery. Features in-seam side pockets.
Charcoal Grey Cotton Panjabi,"As low asTk 1,293.02","['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Charcoal grey textured cotton panjabi. Features in-seam side pockets.
Off White Embroidered Cotton Slim Fit Panjabi,"As low asTk 2,046.51","['Cotton', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Off white cotton slim fit panjabi with white embroidery. Features in-seam side pockets.
Pastel Pistachio Embroidered Cotton Panjabi,"As low asTk 3,232.56","['Cotton', 'Exclusive Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Pastel pistachio cotton panjabi with all over white embroidery. Matte silver buttons and features in-seam side pockets.
Plum Embroidered Viscose-Cotton Panjabi,"As low asTk 2,065.12","['Viscott (Viscose & Cotton)', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Plum viscose-cotton panjabi with black embroidery. Features in-seam side pockets.
Light Aqua Embroidered Viscose-Cotton Panjabi,"As low asTk 2,037.21","['Viscott (Viscose & Cotton)', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Light aqua viscose-cotton panjabi with white embroidery. Features in-seam side pockets.
Burnt Orange Embroidered Viscose Slim Fit Panjabi,"As low asTk 1,441.86","['Viscose', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Burnt orange viscose slim fit panjabi with black embroidery. Features in-seam side pockets.
White/Yellow Printed Addi Cotton Panjabi,"As low asTk 2,274.42","['Addi Cotton', 'Screen Print', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",White addi cotton panjabi with yellow and green prints. Features in-seam side pockets.
Blue Tie-Dyed and Printed Addi Cotton Panjabi,"As low asTk 3,125.58","['Addi Cotton', 'Tie & Dye', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']","Blue, green and white tie-dyed addi cotton panjabi with white prints. Features in-seam side pockets."
Navy Blue Brush Painted and Embroidered Addi Cotton Panjabi,"As low asTk 4,400.00","['Addi Cotton', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Navy blue brush painted addi cotton panjabi with black embroidery. Features in-seam side pockets.
Red Wax Dyed and Embroidered Addi Cotton Panjabi,"As low asTk 3,269.77","['Addi Cotton', 'Exclusive Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Red and white wax dyed addi cotton panjabi with red embroidery. Features in-seam side pockets.
White/Navy Blue Tie-Dyed and Embroidered Addi Cotton Panjabi,"As low asTk 3,567.44","['Addi Cotton', 'Exclusive Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']","Navy blue, white tie-dyed addi cotton panjabi with white, navy blue colour prints and embroidery. Features in-seam side pockets."
White Embroidered Viscose Panjabi,"As low asTk 8,483.72","['Mixed Viscose', 'Exclusive Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']","White viscose panjabi with all over green, lavender and beige embroidery. Features in-seam side pockets."
Sky Blue Embroidered Viscose Panjabi,"As low asTk 1,665.12","['Viscose', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Sky blue viscose panjabi with pastel blue and white embroidery. Features in-seam side pockets.
White Embroidered Addi Cotton Panjabi,"As low asTk 3,051.16","['Addi Cotton', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",White addi cotton panjabi with beige embroidery. Features in-seam side pockets.
Indigo Blue Embroidered Jacquard Cotton Panjabi,"As low asTk 3,237.21","['Cotton', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Indigo blue jacquard textured supima cotton panjabi with blue embroidery. Features in-seam side pockets.
Charcoal Black Embroidered Viscose Slim Fit Panjabi,"As low asTk 1,200.00","['Viscose', 'Hand Embroidery', 'Band Collar', 'Chest And Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Charcoal black viscose slim fit panjabi with shades of grey embroidery. Features in-seam side pockets.
Black Ombre Dyed and Embroidered Viscose-Cotton Panjabi,"As low asTk 3,948.84","['Viscott (Viscose & Cotton)', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Black and grey ombre dyed printed viscose-cotton panjabi with matching embroidery.
Green Striped Cotton Slim Fit Short Kurta,As low asTk 786.05,"['Cotton', 'Shirt Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Green and white striped cotton slim fit short kurta.
Seafoam Green Viscose Slim Fit Short Kurta,As low asTk 772.09,"['Viscose', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Hand Wash With Mild Detergent In Cold Water']",Seafoam green viscose slim fit short kurta. Features in-seam side pockets.
Pastel Green Cotton Slim Fit Short Kurta,As low asTk 986.05,"['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Pastel green cotton slim fit short kurta. Features in-seam side pockets.
Turquoise Cotton Slim Fit Short Kurta,As low asTk 860.47,"['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Turquoise cotton slim fit short kurta. Features in-seam side pockets.
Light Sky Blue Cotton Slim Fit Short Kurta,As low asTk 883.72,"['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Light sky blue textured cotton slim fit short kurta. Features in-seam side pockets.
Mint Green Ramie Rayon Slim Fit Short Kurta,As low asTk 995.35,"['Mixed Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Mint green ramie rayon slim fit short kurta. Features in-seam side pockets.
Turquoise Cotton Slim Fit Short Kurta,As low asTk 972.09,"['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Turquoise textured cotton slim fit short kurta with metal statement buttons.
Purple Printed Ramie Cotton Slim Fit Short Kurta,"As low asTk 1,265.12","['Ramie Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Purple and white printed ramie cotton slim fit short kurta. Features in-seam side pockets.
Blue Satin Slim Fit Short Kurta,As low asTk 953.49,"['Satin', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Blue satin slim fit short kurta. Features in-seam side pockets.
Pink Viscose Slim Fit Short Kurta,As low asTk 855.81,"['Viscose', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Pink viscose slim-fit short kurta. Features in-seam side pockets.
Pink Striped Cotton Slim Fit Short Kurta,As low asTk 790.70,"['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Pink and white striped cotton slim fit short kurta. Features in-seam side pockets.
Red/White Textured Cotton Slim Fit Kurta,As low asTk 911.63,"['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Red and white textured cotton kurta. Features in-seam side pockets.
Dusty Pink Cotton Slim Fit Short Kurta,As low asTk 767.44,"['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Dusty pink cotton slim fit short kurta. Features in-seam side pockets.
Salmon Pink Cotton Slim Fit Short Kurta,As low asTk 818.60,"['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Salmon pink cotton slim fit short kurta. Features in-seam side pockets.
Orange Cotton Slim Fit Short Kurta,As low asTk 944.19,"['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Orange cotton slim fit short kurta. Features in-seam side pockets.
Plum Cotton Slim Fit Kurta,As low asTk 879.07,"['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Plum cotton kurta. Features in-seam side pockets.
Plum Cotton Slim Fit Short Kurta,As low asTk 837.21,"['Cotton', 'Shirt Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Plum cotton slim fit short kurta. Features in-seam side pockets.
Plum Viscose-Cotton Slim Fit Short Kurta,As low asTk 827.91,"['Viscott (Viscose & Cotton)', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short']",Plum viscose-cotton slim fit short kurta. Features in-seam side pockets.
Grey Ramie Cotton Slim Fit Short Kurta,As low asTk 883.72,"['Ramie Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short']",Grey ramie cotton slim fit short kurta. Features in-seam side pockets.
Beige Viscose Slim Fit Short Kurta,As low asTk 837.21,"['Viscose', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Beige viscose slim fit short kurta. Features in-seam side pockets.
Beige Ramie Cotton Slim Fit Short Kurta,As low asTk 851.16,"['Ramie Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Beige ramie cotton slim fit short kurta. Features in-seam side pockets.
Brown Ramie Cotton Slim Fit Short Kurta,"As low asTk 1,423.26","['Ramie Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Brown ramie cotton slim fit short kurta. Features in-seam side pockets.
Pink Cotton Slim Fit Short Kurta,As low asTk 972.09,"['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Pink cotton slim fit short kurta. Features in-seam side pockets.
Pink Printed Satin Cotton Slim Fit Short Kurta,"As low asTk 1,353.49","['Satin', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",White printed satin-cotton slim fit short kurta. Features in-seam side pockets.
Yellow Striped Textured Viscose-Cotton Short Kurta,"As low asTk 1,144.19","['Viscose', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Yellow striped textured viscose-cotton short kurta. Features in-seam side pockets.
Mauve Dyed Cotton Slim Fit Short Kurta,"As low asTk 1,437.21","['Cotton', 'Dye', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Mauve dyed cotton slim fit kurta. Features in-seam side pockets.
Beige Viscose Slim Fit Short Kurta,"As low asTk 1,023.26","['Viscose', 'Band Collar', 'Chest And Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Beige viscose slim fit kurta. Features in-seam side pockets.
Beige Ramie Rayon Slim Fit Short Kurta,"As low asTk 1,190.70","['Ramie Rayon', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Brown ramie rayon slim fit short kurta. Features in-seam side pockets.
Ivory Printed Cotton Slim Fit Kurta,As low asTk 902.33,"['Ramie Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Ivory textured cotton kurta. Features in-seam side pockets.
White Printed Satin Slim Fit Kurta,"As low asTk 1,386.05","['Satin', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",White satin kurta with black and grey prints. Features in-seam side pockets.
Off White Cotton Slim Fit Short Kurta,"As low asTk 1,116.28","['Mixed Cotton Pique', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",off white cotton slim fit short kurta. Features in-seam side pockets.
White Textured Cotton Slim Fit Short Kurta,"As low asTk 1,088.37","['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",White jacquard textured cotton slim fit short kurta. Features in-seam side pockets.
White Printed Satin Slim Fit Short Kurta,"As low asTk 1,390.70","['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",White printed satin slim fit short kurta. Features in-seam side pockets.
Beige Ramie Cotton Slim Fit Short Kurta,As low asTk 925.58,"['Ramie Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Beige ramie cotton slim fit short kurta. Features in-seam side pockets.
Mint Green Viscose Slim Fit Short Kurta,As low asTk 925.58,"['Viscose', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Mint green viscose slim fit short kurta with multicolour prints. Features in-seam side pockets.
Navy Blue Ramie Cotton Slim Fit Short Kurta,As low asTk 772.09,"['Ramie Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",White and navy blue ramie cotton slim fit short kurta. Features in-seam side pockets.
White Ramie Cotton Slim Fit Short Kurta,As low asTk 888.37,"['Ramie Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",White mixed ramie cotton slim fit short kurta. Features in-seam side pockets.
White Cotton Slim Fit Short Kurta,As low asTk 883.72,"['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",White cotton slim fit short kurta. Features in-seam side pockets.
Off White Mixed Cotton Slim Fit Short Kurta,As low asTk 893.02,"['Mixed Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",off white herringbone textured cotton slim fit short kurta with metal buttons. Features in-seam side pockets.
Blue Ramie-Cotton Slim Fit Short Kurta,As low asTk 832.56,"['Ramie Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Blue striped ramie cotton slim fit short kurta. Features in-seam side pockets.
Navy Blue Cotton Slim Fit Short Kurta,As low asTk 860.47,"['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short']",Navy blue cotton slim fit short kurta. Features in-seam side pockets.
Navy Blue Cotton Slim Fit Short Kurta,As low asTk 869.77,"['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Navy blue cotton slim fit short kurta. Features in-seam side pocket.
Sky Blue Ramie Cotton Slim Fit Short Kurta,As low asTk 851.16,"['Ramie Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Sky blue ramie slim fit short kurta. Features in-seam side pockets.
Sky Blue Cotton Slim Fit Short Kurta,As low asTk 962.79,"['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Sky blue cotton slim fit short kurta.
Pastel Blue Mixed Viscose Slim Fit Short Kurta,As low asTk 790.70,"['Mixed Viscose', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Pastel blue mixed viscose slim fit short kurta.
Sky Blue Textured Ramie Cotton Kurta,"As low asTk 1,144.19","['Ramie Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Sky blue textured ramie cotton kurta. Features in-seam side pockets.
White Printed Cotton Slim Fit Short Kurta,As low asTk 790.70,"['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",White cotton slim fit short kurta with multicolour prints. Features two pockets.
White Printed Satin Cotton Short Kurta,"As low asTk 1,790.70","['Satin', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",White satin cotton short kurta with shades of blue prints. Features in-seam side pockets.
Grey Printed Satin Slim Fit Short Kurta,"As low asTk 1,520.93","['Satin', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Grey satin slim fit short kurta with matching prints. Features in-seam side pockets.
Grey Printed Mixed Cotton Slim Fit Short Kurta,"As low asTk 1,823.26","['Mixed Cotton', 'Digital Print', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Grey satin-cotton slim fit short kurta with matching prints. Features in-seam side pockets.
White/Blue Printed Linen Slim Fit Short Kurta,As low asTk 869.77,"['Linen', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",White linen slim fit short kurta with blue prints. Features in-seam side pockets.
Black Textured Cotton Slim Fit Short Kurta,As low asTk 809.30,"['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Black and white textured cotton slim fit short kurta. Features in-seam side pockets.
Eggshell Ramie Cotton Slim Fit Short Kurta,As low asTk 944.19,"['Ramie Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Eggshell ramie cotton slim fit short kurta. Features chest pocket and in-seam side pockets.
White Textured Mixed Viscose Slim Fit Short Kurta,As low asTk 930.23,"['Mixed Viscose', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",White textured mixed viscose slim fit short kurta. Features in-seam side pockets.
Fern Green Ramie Cotton Slim Fit Short Kurta,As low asTk 823.26,"['Ramie Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Fern green ramie cotton slim fit short kurta. Features in-seam side pockets.
Light Cyan Printed Satin Cotton Slim Fit Short Kurta,"As low asTk 1,316.28","['Satin', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Light cyan satin cotton slim fit short kurta with green and shades of brown. Features in-seam side pockets.
Blue-Grey Cotton Slim Fit Short Kurta,As low asTk 860.47,"['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Blue-grey cotton slim fit short kurta with multicolour prints. Features in-seam side pockets.
Navy Blue Printed Cotton Slim Fit Short Kurta,As low asTk 990.70,"['Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Navy blue printed cotton slim fit short kurta. Features in-seam side pockets.
Navy Blue Printed Cotton Slim Fit Short Kurta,"As low asTk 1,413.95","['Cotton', 'Digital Print', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Navy blue cotton slim fit short kurta with prints. Features in-seam side pockets.
Blue Check Ramie Cotton Slim Fit Short Kurta,As low asTk 869.77,"['Ramie Cotton', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Short', 'Hand Wash With Mild Detergent In Cold Water']",Shades of blue check ramie cotton slim fit short kurta. Features in-seam side pockets.
